"Start","Stop","Length","Frame"
4806049,4806534,486,1
4819072,4819503,432,1
4829944,4830402,459,1
4830910,4831290,381,1
4863814,4864176,363,1
4868272,4868859,588,1
4909141,4909521,381,1
4917442,4917831,390,1
4918117,4918458,342,1
4918522,4922349,3828,1
4967473,4967814,342,1
4968166,4968726,561,1
4971145,4971699,555,1
4981021,4981329,309,1
5009524,5009853,330,1
5017270,5017572,303,1
5030875,5031219,345,1
5084350,5084694,345,1
5088358,5088741,384,1
5116915,5117277,363,1
5118340,5118639,300,1
5122195,5122692,498,1
5170693,5171091,399,1
5187811,5188425,615,1
5220859,5221209,351,1
5223664,5224068,405,1
5243932,5244549,618,1
5247943,5248323,381,1
5255260,5255565,306,1
5259406,5259714,309,1
5275249,5275653,405,1
5283418,5283792,375,1
5294173,5294484,312,1
5358373,5358672,300,1
5376157,5376543,387,1
5417668,5418081,414,1
5426128,5426466,339,1
5497831,5498223,393,1
5519038,5519337,300,1
5540401,5541432,1032,1
5571835,5572137,303,1
5622985,5623422,438,1
5710183,5710506,324,1
5741146,5741481,336,1
5773357,5773695,339,1
5901769,5902107,339,1
5935798,5936142,345,1
5939017,5939463,447,1
5940031,5940534,504,1
5963611,5963973,363,1
5980573,5980959,387,1
5995678,5996037,360,1
6011503,6011976,474,1
6014902,6015459,558,1
6090016,6090321,306,1
6117049,6117366,318,1
6129316,6129729,414,1
6171910,6172212,303,1
6176095,6176514,420,1
6272587,6272925,339,1
6275743,6276072,330,1
6318985,6319686,702,1
6380521,6380829,309,1
6497287,6498099,813,1
6498754,6499383,630,1
6514984,6515388,405,1
6535840,6536169,330,1
6538300,6538710,411,1
6542332,6542655,324,1
6597226,6597540,315,1
6670192,6670509,318,1
6687382,6687747,366,1
6688519,6688971,453,1
6805009,6805533,525,1
6854329,6854685,357,1
6931369,6931686,318,1
6940090,6940398,309,1
6987922,6988248,327,1
7099420,7099938,519,1
7123642,7124007,366,1
7143673,7143993,321,1
7154203,7154511,309,1
7202326,7202646,321,1
7263868,7264419,552,1
7354333,7354683,351,1
7409518,7409883,366,1
7411807,7412130,324,1
7487458,7487790,333,1
7503880,7504206,327,1
7586050,7586454,405,1
7608796,7609209,414,1
7643935,7644279,345,1
7646722,7647027,306,1
7740820,7741122,303,1
7783492,7784073,582,1
7890499,7890849,351,1
7909636,7909980,345,1
7937134,7937466,333,1
7937614,7938030,417,1
8021710,8022054,345,1
8041984,8042586,603,1
8066569,8066913,345,1
8072086,8072457,372,1
8083513,8083836,324,1
8097823,8098179,357,1
8099965,8100264,300,1
8101813,8102181,369,1
8125276,8125638,363,1
8145637,8145939,303,1
8166412,8166738,327,1
8179486,8179911,426,1
8180188,8180496,309,1
8182078,8182392,315,1
8219596,8219898,303,1
8225410,8225751,342,1
8294026,8294349,324,1
8298586,8298978,393,1
8323195,8323560,366,1
8334925,8336310,1386,1
8374801,8375253,453,1
8386597,8387112,516,1
8410747,8411136,390,1
8415073,8415387,315,1
8428060,8428647,588,1
8453302,8453619,318,1
8456257,8456625,369,1
8464777,8465103,327,1
8485843,8486145,303,1
8493490,8493882,393,1
8570191,8570499,309,1
8589418,8589831,414,1
8596276,8596587,312,1
8597395,8597763,369,1
8606671,8607015,345,1
8616457,8617317,861,1
8625220,8625561,342,1
8641009,8641326,318,1
8641873,8642190,318,1
8649949,8650269,321,1
8654764,8655699,936,1
8657314,8657613,300,1
8659171,8659488,318,1
8659498,8659842,345,1
8666614,8666934,321,1
8672383,8672724,342,1
8682289,8682888,600,1
8689942,8690403,462,1
8720311,8721879,1569,1
8733742,8734164,423,1
8737759,8738103,345,1
8766007,8766330,324,1
8766625,8766951,327,1
8817979,8818296,318,1
8838451,8838807,357,1
8847685,8848116,432,1
8863042,8863362,321,1
8875807,8876115,309,1
8894662,8894994,333,1
8924827,8926290,1464,1
8971762,8972169,408,1
8984668,8985006,339,1
8998366,8998668,303,1
9001834,9002199,366,1
9010219,9010650,432,1
9011326,9011751,426,1
9028396,9028830,435,1
9037789,9038112,324,1
9042757,9043056,300,1
9068032,9068337,306,1
9077002,9077307,306,1
9082012,9082362,351,1
9089497,9089820,324,1
9093301,9093678,378,1
9113140,9113442,303,1
9114259,9114579,321,1
9134293,9134985,693,1
9147643,9147960,318,1
9170626,9171051,426,1
9175576,9175887,312,1
9194854,9195174,321,1
9201367,9201699,333,1
9217798,9218118,321,1
9226744,9227112,369,1
9240265,9240732,468,1
9255289,9255762,474,1
9258943,9259338,396,1
9259819,9260241,423,1
9261229,9261660,432,1
9261928,9262269,342,1
9262990,9263397,408,1
9270697,9271038,342,1
9300082,9300411,330,1
9329128,9329454,327,1
9358315,9358623,309,1
9364261,9364686,426,1
9426418,9426987,570,1
9429649,9430050,402,1
9498472,9498846,375,1
9505873,9506403,531,1
9515716,9516102,387,1
9528532,9529266,735,1
9549829,9550134,306,1
9553207,9553521,315,1
9597133,9597513,381,1
9639052,9639396,345,1
9639883,9640245,363,1
9646015,9646395,381,1
9651562,9652113,552,1
9666892,9667278,387,1
9725566,9726102,537,1
9730573,9731613,1041,1
9739048,9739989,942,1
9742549,9742959,411,1
9743032,9743421,390,1
9744238,9744600,363,1
9750928,9751305,378,1
9751531,9751905,375,1
9770827,9771351,525,1
9780379,9780720,342,1
9789694,9790035,342,1
9791119,9791535,417,1
9792478,9792798,321,1
9810007,9810492,486,1
9828910,9829494,585,1
9833173,9833652,480,1
9835756,9836094,339,1
9843292,9843723,432,1
9854596,9855159,564,1
9908014,9908352,339,1
9933214,9933597,384,1
9933757,9934095,339,1
9934789,9935115,327,1
9939835,9940338,504,1
9946177,9946965,789,1
9948565,9948966,402,1
9951970,9952410,441,1
9979918,9980253,336,1
9983062,9983526,465,1
9990697,9991011,315,1
10003492,10003830,339,1
10008505,10008930,426,1
10022275,10022688,414,1
10029694,10030026,333,1
10064131,10064433,303,1
10147246,10147683,438,1
10159768,10160070,303,1
10203184,10203483,300,1
10207285,10207623,339,1
10219756,10220157,402,1
10235785,10236369,585,1
10248424,10248819,396,1
10249201,10249773,573,1
10305001,10305384,384,1
10310842,10311141,300,1
10329679,10330134,456,1
10342795,10343118,324,1
10344190,10344606,417,1
10353919,10354275,357,1
10358413,10358802,390,1
10368574,10369104,531,1
10378996,10379400,405,1
10388527,10388853,327,1
10390492,10390896,405,1
10392298,10392663,366,1
10402108,10402449,342,1
10412770,10413333,564,1
10416904,10417383,480,1
10448974,10449336,363,1
10449484,10449888,405,1
10449979,10450347,369,1
10468027,10468473,447,1
10474189,10474521,333,1
10482994,10483317,324,1
10485550,10485906,357,1
10492600,10493148,549,1
10493692,10494099,408,1
10498123,10498548,426,1
10503655,10504017,363,1
10504138,10504479,342,1
10515277,10515582,306,1
10519858,10520229,372,1
10528060,10528380,321,1
10589362,10589841,480,1
10606756,10607073,318,1
10612135,10612578,444,1
10615864,10616187,324,1
10634929,10635252,324,1
10635556,10635909,354,1
10646281,10646691,411,1
10650376,10650813,438,1
10658494,10659153,660,1
10659217,10659888,672,1
10692652,10693029,378,1
10707937,10708551,615,1
10709047,10709346,300,1
10725367,10725681,315,1
10762789,10763175,387,1
10789315,10789623,309,1
10794274,10794576,303,1
10807504,10807827,324,1
10811107,10811448,342,1
10815907,10816269,363,1
10819642,10819956,315,1
10838164,10838571,408,1
10841137,10841481,345,1
10853812,10854198,387,1
10873147,10873833,687,1
10878178,10878531,354,1
10909747,10910244,498,1
10914820,10915269,450,1
10918756,10919115,360,1
10919515,10919868,354,1
10934038,10934598,561,1
10936486,10937127,642,1
10937509,10937847,339,1
10953550,10953885,336,1
10957036,10957344,309,1
10959565,10960038,474,1
10962430,10962747,318,1
10965358,10965672,315,1
10977304,10977618,315,1
10980163,10980588,426,1
11001241,11001561,321,1
11005015,11005338,324,1
11005804,11006169,366,1
11010793,11011176,384,1
11015335,11015712,378,1
11028268,11028606,339,1
11054770,11055111,342,1
11083981,11084340,360,1
11084386,11084766,381,1
11115730,11116086,357,1
11126743,11127078,336,1
11153518,11153880,363,1
11162230,11162529,300,1
11169535,11170083,549,1
11233645,11233959,315,1
11242936,11243301,366,1
11298817,11299236,420,1
11307679,11307996,318,1
11334694,11335101,408,1
11336818,11337159,342,1
11376562,11377065,504,1
11391439,11391786,348,1
11422708,11423067,360,1
11482207,11482533,327,1
11487664,11488080,417,1
11488126,11488671,546,1
11536534,11536845,312,1
11544526,11544867,342,1
11546149,11546511,363,1
11549725,11550087,363,1
11555095,11555541,447,1
11559388,11559747,360,1
11614036,11614416,381,1
11666845,11667204,360,1
11692468,11692785,318,1
11736130,11736459,330,1
11748304,11748618,315,1
11769724,11770056,333,1
11812453,11812764,312,1
11840221,11840541,321,1
11866792,11867136,345,1
11878228,11878554,327,1
11881783,11882154,372,1
11890555,11890887,333,1
11897113,11897436,324,1
11897596,11898030,435,1
11898541,11898918,378,1
11901967,11902569,603,1
11905516,11905983,468,1
11908285,11908605,321,1
11910931,11911275,345,1
11911816,11912190,375,1
11919298,11919624,327,1
11922340,11922654,315,1
11963893,11964234,342,1
11985775,11986122,348,1
12004552,12004932,381,1
12033049,12033378,330,1
12054439,12054813,375,1
12071041,12071418,378,1
12094315,12094617,303,1
12187525,12187845,321,1
12252901,12253236,336,1
12298747,12299064,318,1
12342871,12343404,534,1
12365410,12365832,423,1
12416722,12417327,606,1
12433801,12434145,345,1
12436888,12437202,315,1
12438223,12438618,396,1
12448159,12448833,675,1
12458755,12459090,336,1
12460696,12461199,504,1
12474259,12474579,321,1
12479929,12480360,432,1
12503296,12503802,507,1
12515443,12515748,306,1
12554017,12554373,357,1
12561880,12562290,411,1
12563377,12563727,351,1
12565597,12566115,519,1
12572080,12572397,318,1
12639451,12639759,309,1
12655048,12655533,486,1
12663496,12663816,321,1
12676252,12676668,417,1
12696838,12697173,336,1
12751876,12752175,300,1
12797155,12797466,312,1
12810997,12811326,330,1
12815173,12815622,450,1
12816421,12818046,1626,1
12825478,12825804,327,1
12827446,12827928,483,1
12838945,12839316,372,1
12850708,12851043,336,1
12852610,12852927,318,1
12857392,12857868,477,1
12860773,12861087,315,1
12868873,12869358,486,1
12870658,12871137,480,1
12872698,12873246,549,1
12879439,12879819,381,1
12886702,12887025,324,1
12888763,12889062,300,1
12892330,12892749,420,1
12903193,12903708,516,1
12903757,12904413,657,1
12908269,12908571,303,1
12909787,12910107,321,1
12918967,12919419,453,1
12923305,12923652,348,1
12924568,12925017,450,1
12925558,12926133,576,1
12926305,12926670,366,1
12926968,12927573,606,1
12931498,12931998,501,1
12944374,12944679,306,1
12945145,12945489,345,1
12959539,12959949,411,1
12967450,12968148,699,1
12987781,12988086,306,1
13014706,13015050,345,1
13019980,13020480,501,1
13021765,13022226,462,1
13024249,13024566,318,1
13028713,13029054,342,1
13031839,13032231,393,1
13034833,13035159,327,1
13044106,13044405,300,1
13044622,13045272,651,1
13046320,13046766,447,1
13049815,13050327,513,1
13051528,13051830,303,1
13053970,13054860,891,1
13065991,13066296,306,1
13072912,13073232,321,1
13086394,13086783,390,1
13091629,13092126,498,1
13103449,13103865,417,1
13108810,13109202,393,1
13110919,13111296,378,1
13119730,13120062,333,1
13124647,13124982,336,1
13135381,13135764,384,1
13141741,13142151,411,1
13144090,13144665,576,1
13153753,13154205,453,1
13161199,13161498,300,1
13161706,13162131,426,1
13169971,13170387,417,1
13173223,13173699,477,1
13174267,13174581,315,1
13174696,13175136,441,1
13185226,13185525,300,1
13186912,13187241,330,1
13191028,13191336,309,1
13199791,13200306,516,1
13207300,13207986,687,1
13208773,13209336,564,1
13209562,13209876,315,1
13219141,13219509,369,1
13222591,13223007,417,1
13223623,13224063,441,1
13224067,13224561,495,1
13234975,13235307,333,1
13236196,13236513,318,1
13237741,13238286,546,1
13258750,13259256,507,1
13259608,13259958,351,1
13261279,13261635,357,1
13265437,13265856,420,1
13273810,13274271,462,1
13282738,13283436,699,1
13302862,13303203,342,1
13318063,13318578,516,1
13327660,13328016,357,1
13332796,13333359,564,1
13340452,13340778,327,1
13343269,13343712,444,1
13348219,13348527,309,1
13349317,13349628,312,1
13358737,13359114,378,1
13364896,13365228,333,1
13367482,13367784,303,1
13371766,13372170,405,1
13373998,13374438,441,1
13374451,13374813,363,1
13377622,13377993,372,1
13388992,13389489,498,1
13424734,13425378,645,1
13438555,13438902,348,1
13479331,13479702,372,1
13493551,13493931,381,1
13495096,13495395,300,1
13502020,13502349,330,1
13506343,13506663,321,1
13513585,13513941,357,1
13520908,13521219,312,1
13526089,13526400,312,1
13536004,13536405,402,1
13559773,13560111,339,1
13565974,13566276,303,1
13571428,13571781,354,1
13575280,13575621,342,1
13580161,13580508,348,1
13582840,13583295,456,1
13590028,13590456,429,1
13591993,13592295,303,1
13592968,13593282,315,1
13597624,13597986,363,1
13608427,13608780,354,1
13614736,13615152,417,1
13617088,13617984,897,1
13621792,13622202,411,1
13625485,13625796,312,1
13633201,13633563,363,1
13633870,13634241,372,1
13637026,13637406,381,1
13638949,13639407,459,1
13645846,13646160,315,1
13646227,13646574,348,1
13647997,13648302,306,1
13652002,13652358,357,1
13652560,13652919,360,1
13653265,13653711,447,1
13653925,13654314,390,1
13655092,13655646,555,1
13661044,13661409,366,1
13665583,13666158,576,1
13667359,13667853,495,1
13682050,13682418,369,1
13684138,13684530,393,1
13745653,13746057,405,1
13747639,13748085,447,1
13748899,13749228,330,1
13770217,13770573,357,1
13773160,13773501,342,1
13831909,13832580,672,1
13839865,13840224,360,1
13845802,13846206,405,1
13849936,13850322,387,1
13851988,13852302,315,1
13865995,13866345,351,1
13869127,13869570,444,1
13883809,13884114,306,1
13903945,13904244,300,1
13912939,13913256,318,1
13932940,13933281,342,1
13960657,13961058,402,1
13981378,13981917,540,1
13989055,13989414,360,1
13995694,13995999,306,1
13997287,13997697,411,1
14014240,14014572,333,1
14062252,14062560,309,1
14072995,14073330,336,1
14075593,14076021,429,1
14087425,14087760,336,1
14090302,14090610,309,1
14118805,14119200,396,1
14145868,14146227,360,1
14146846,14147151,306,1
14210218,14210646,429,1
14253166,14253711,546,1
14254879,14255181,303,1
14255215,14255556,342,1
14256925,14257371,447,1
14278789,14279253,465,1
14285311,14285637,327,1
14297740,14298057,318,1
14301241,14301579,339,1
14302882,14303370,489,1
14307727,14308050,324,1
14346139,14346450,312,1
14349409,14349726,318,1
14356504,14356824,321,1
14364733,14365266,534,1
14373619,14373987,369,1
14374597,14374932,336,1
14379685,14379984,300,1
14381521,14381931,411,1
14397589,14397951,363,1
14406100,14406429,330,1
14414503,14414829,327,1
14428333,14428818,486,1
14437849,14438178,330,1
14442274,14442621,348,1
14449012,14449422,411,1
14455180,14455485,306,1
14461828,14462355,528,1
14464174,14464485,312,1
14469088,14469447,360,1
14472685,14473050,366,1
14476828,14477262,435,1
14481523,14481825,303,1
14482282,14482584,303,1
14488168,14488473,306,1
14491960,14492415,456,1
14494960,14495622,663,1
14505976,14506461,486,1
14509006,14509668,663,1
14510176,14510577,402,1
14519452,14519799,348,1
14538064,14538384,321,1
14547772,14548131,360,1
14551327,14551830,504,1
14553169,14553636,468,1
14555143,14555448,306,1
14556937,14557245,309,1
14558803,14559159,357,1
14573029,14574120,1092,1
14574604,14574981,378,1
14592286,14592810,525,1
14598412,14598720,309,1
14622841,14623368,528,1
14651266,14651613,348,1
14684677,14685003,327,1
14693533,14693910,378,1
14703151,14703573,423,1
14712001,14712399,399,1
14728498,14728809,312,1
14752423,14752740,318,1
14752765,14753283,519,1
14761600,14762091,492,1
14789965,14790357,393,1
14791261,14791596,336,1
14828077,14828376,300,1
14841625,14841984,360,1
14889667,14890122,456,1
14891062,14891367,306,1
14891710,14892078,369,1
14898847,14899326,480,1
14903257,14903706,450,1
14907727,14908041,315,1
14919985,14920299,315,1
14922880,14923179,300,1
14932084,14932452,369,1
14936713,14937027,315,1
14945356,14945682,327,1
14950285,14950659,375,1
14970616,14970942,327,1
15013558,15013986,429,1
15062209,15062598,390,1
15073567,15074097,531,1
15087613,15087963,351,1
15114559,15114879,321,1
15123832,15124176,345,1
15125971,15126324,354,1
15140074,15140520,447,1
15146470,15146787,318,1
15190486,15191550,1065,1
15193003,15193326,324,1
15193549,15193974,426,1
15199258,15199572,315,1
15256081,15256431,351,1
15299215,15299580,366,1
15303952,15304272,321,1
15332245,15332766,522,1
15364498,15364920,423,1
15397180,15397521,342,1
15427513,15428121,609,1
15447502,15447807,306,1
15456406,15456714,309,1
15512401,15512772,372,1
15529423,15529770,348,1
15539197,15539532,336,1
15562687,15562989,303,1
15567100,15567441,342,1
15567832,15568212,381,1
15592168,15593238,1071,1
15645055,15645357,303,1
15667825,15668241,417,1
15723814,15724170,357,1
15864373,15864693,321,1
15877882,15878571,690,1
15899866,15900381,516,1
15940957,15941379,423,1
15946618,15946977,360,1
15960694,15961089,396,1
15964000,15964314,315,1
15969760,15970125,366,1
15997876,15998190,315,1
16030732,16031046,315,1
16048801,16049151,351,1
16144702,16145007,306,1
16175152,16175694,543,1
16197169,16197507,339,1
16216528,16216848,321,1
16246015,16246452,438,1
16247854,16248519,666,1
16251298,16251708,411,1
16265815,16266174,360,1
16287574,16287897,324,1
16292830,16293138,309,1
16315108,16315434,327,1
16324783,16325157,375,1
16366912,16367277,366,1
16379467,16379775,309,1
16403134,16403442,309,1
16433821,16434147,327,1
16466026,16466427,402,1
16470514,16470852,339,1
16491139,16491483,345,1
16539685,16540056,372,1
16604194,16604523,330,1
16609519,16609857,339,1
16640458,16640784,327,1
16678711,16679712,1002,1
16705588,16706007,420,1
16727236,16727598,363,1
16731697,16732005,309,1
16732384,16732761,378,1
16769815,16770426,612,1
16778074,16778445,372,1
16779562,16780245,684,1
16780399,16780755,357,1
16846984,16847340,357,1
16910410,16910727,318,1
16944613,16944999,387,1
16979533,16979907,375,1
16980247,16980576,330,1
17009725,17012178,2454,1
17059408,17059710,303,1
17071807,17072124,318,1
17079868,17080233,366,1
17096614,17097057,444,1
17103556,17103858,303,1
17119735,17120064,330,1
17128627,17129016,390,1
17136631,17137020,390,1
17139835,17140167,333,1
17160967,17161329,363,1
17202532,17203353,822,1
17219407,17219766,360,1
17330353,17330811,459,1
17345005,17345871,867,1
17450692,17451087,396,1
17563657,17563965,309,1
17572690,17572995,306,1
17585842,17586150,309,1
17593453,17593989,537,1
17621929,17622237,309,1
17632363,17632716,354,1
17645722,17646057,336,1
17677390,17677770,381,1
17692114,17692413,300,1
17697334,17697975,642,1
17700148,17700555,408,1
17704117,17704491,375,1
17725489,17725812,324,1
17738083,17738487,405,1
17818234,17818560,327,1
17833687,17834145,459,1
17935630,17935935,306,1
17946040,17946414,375,1
17967097,17967486,390,1
17974567,17974866,300,1
17980453,17980788,336,1
18088390,18088701,312,1
18096109,18096411,303,1
18109453,18109794,342,1
18109984,18110508,525,1
18124162,18124461,300,1
18130288,18130683,396,1
18137590,18137898,309,1
18172054,18172413,360,1
18208102,18208461,360,1
18223177,18223545,369,1
18349393,18349782,390,1
18469285,18469605,321,1
18477997,18478434,438,1
18502303,18502632,330,1
18519145,18520410,1266,1
18578956,18579405,450,1
18595240,18595692,453,1
18631588,18631962,375,1
18637933,18638322,390,1
18752365,18752670,306,1
18753325,18753711,387,1
18806872,18807240,369,1
18997225,18997638,414,1
19032520,19032822,303,1
19068301,19068651,351,1
19107205,19107591,387,1
19121206,19121574,369,1
19170541,19170978,438,1
19187905,19188210,306,1
19195447,19195779,333,1
19234309,19234710,402,1
19320079,19320423,345,1
19325716,19326129,414,1
19351384,19351851,468,1
19352281,19352976,696,1
19383307,19383612,306,1
19428790,19429113,324,1
19500205,19500516,312,1
19502863,19503723,861,1
19517518,19517952,435,1
19540600,19540968,369,1
19550458,19550811,354,1
19583986,19584480,495,1
19584490,19585092,603,1
19587460,19587780,321,1
19590295,19590609,315,1
19629769,19630071,303,1
19648825,19649160,336,1
19650556,19650978,423,1
19665031,19665360,330,1
19680748,19681206,459,1
19692889,19693197,309,1
19693498,19693812,315,1
19730755,19731060,306,1
19735273,19735587,315,1
19742530,19742838,309,1
19749760,19750068,309,1
19751695,19752657,963,1
19762975,19763334,360,1
19778863,19779888,1026,1
19846552,19846878,327,1
19882987,19883313,327,1
19933183,19934181,999,1
19934209,19934718,510,1
19967002,19967490,489,1
20024395,20024841,447,1
20026777,20027232,456,1
20036206,20036505,300,1
20040478,20040819,342,1
20067862,20068293,432,1
20079181,20079525,345,1
20185891,20186412,522,1
20209198,20209515,318,1
20242441,20242758,318,1
20254735,20255034,300,1
20258923,20259267,345,1
20351914,20352258,345,1
20382022,20382327,306,1
20466886,20467299,414,1
20482339,20482686,348,1
20483800,20484129,330,1
20488204,20488506,303,1
20508205,20508528,324,1
20521387,20521725,339,1
20534107,20534532,426,1
20536171,20536539,369,1
20619721,20620062,342,1
20681596,20681979,384,1
20716282,20716635,354,1
20855566,20856285,720,1
21041755,21042093,339,1
21241156,21241470,315,1
21274405,21274725,321,1
21277720,21278553,834,1
21444406,21444726,321,1
21463432,21463743,312,1
21660241,21660540,300,1
21704458,21704787,330,1
21716602,21716961,360,1
21723844,21724266,423,1
21769420,21770232,813,1
21801829,21802146,318,1
21816136,21816558,423,1
21817033,21817350,318,1
21982405,21982728,324,1
21996025,21996507,483,1
22001305,22001691,387,1
22028485,22028817,333,1
22053526,22056069,2544,1
22063969,22064292,324,1
22100128,22100517,390,1
22103908,22104255,348,1
22138045,22138362,318,1
22138753,22139085,333,1
22179679,22180230,552,1
22197790,22198104,315,1
22225489,22225839,351,1
22303162,22303494,333,1
22335568,22335912,345,1
22344214,22344516,303,1
22381819,22382460,642,1
22446817,22447182,366,1
22447222,22447887,666,1
22448107,22448652,546,1
22458244,22458546,303,1
22531705,22532079,375,1
22533097,22533447,351,1
22541422,22541865,444,1
22551886,22552206,321,1
22624312,22624698,387,1
22687921,22688244,324,1
22706974,22707414,441,1
22708510,22708956,447,1
22709020,22709427,408,1
22710796,22711119,324,1
22802644,22803300,657,1
22803364,22806111,2748,1
22836847,22837167,321,1
22914556,22914855,300,1
22934167,22934631,465,1
22953592,22953891,300,1
22977118,22977504,387,1
22989673,22990131,459,1
22996846,22997214,369,1
23025709,23026044,336,1
23149609,23149917,309,1
23204026,23204343,318,1
23261935,23262351,417,1
23272138,23272587,450,1
23287657,23288031,375,1
23301604,23302335,732,1
23350279,23351295,1017,1
23351359,23351886,528,1
23353138,23354487,1350,1
23354572,23355174,603,1
23384230,23384535,306,1
23389210,23389545,336,1
23401837,23402196,360,1
23479747,23480181,435,1
23550259,23550567,309,1
23601394,23601837,444,1
23616952,23617521,570,1
23618104,23618709,606,1
23622001,23622312,312,1
23652505,23653107,603,1
23667967,23668350,384,1
23668657,23669055,399,1
23720083,23720421,339,1
23748787,23749110,324,1
23752327,23752833,507,1
23756077,23756607,531,1
23766049,23766348,300,1
23767075,23767470,396,1
23771950,23772255,306,1
23810476,23810976,501,1
23847373,23847681,309,1
23852434,23852844,411,1
23894404,23894805,402,1
23917471,23917929,459,1
23931565,23931936,372,1
23962018,23962611,594,1
24106810,24107109,300,1
24122836,24123339,504,1
24130486,24130815,330,1
24158485,24158817,333,1
24159643,24159954,312,1
24165016,24165474,459,1
24222847,24223341,495,1
24236227,24236529,303,1
24273685,24273984,300,1
24280750,24281493,744,1
24281557,24282687,1131,1
24283159,24283812,654,1
24340996,24341310,315,1
24366463,24366831,369,1
24386653,24386952,300,1
24435391,24435705,315,1
24440839,24441138,300,1
24510439,24510768,330,1
24522124,24522441,318,1
24574234,24574563,330,1
24601000,24601332,333,1
24601807,24602154,348,1
24705976,24706287,312,1
24736060,24736386,327,1
24810832,24811194,363,1
24837847,24838182,336,1
24871765,24872082,318,1
24899647,24899994,348,1
24955249,24955575,327,1
25136545,25136916,372,1
25139503,25139973,471,1
25150555,25150860,306,1
25170061,25170363,303,1
25195948,25196253,306,1
25215400,25215744,345,1
25239517,25239882,366,1
25268554,25268961,408,1
25288528,25288839,312,1
25324219,25324662,444,1
25358245,25358601,357,1
25396927,25397277,351,1
25569544,25570092,549,1
25571356,25571712,357,1
25576525,25576839,315,1
25653841,25654191,351,1
25655458,25655814,357,1
25663858,25664409,552,1
25672879,25673268,390,1
25722661,25722996,336,1
25744273,25744587,315,1
25783375,25783977,603,1
25784914,25785303,390,1
25851598,25851945,348,1
